차 | 茶, 車 | tea;<div>car</div>
중국어 | 中國語 | Chinese (language)
가르치다 |  | to teach
태어나다 |  | to be born
바쁘다 |  | to be busy
비밀 | 秘密 | secret
나이 |  | age
직장 | 職場 | workplace, job
가족 | 家族 | family
직업 | 職業 | job, occupation
주다 |  | to give
이야기하다 |  | to talk
앉다 |  | to sit, sit down
싫어하다 |  | to dislike
버스 |  | bus
주스 |  | juice
아직 |  | yet, still
점심 | 點心 | lunch; afternoon
올해 |  | this year
극장 | 劇場 | movie theater;<div>theater</div>
신문 | 新聞 | newspaper
가져오다 |  | to bring
잡다 |  | to catch, grab, take
준비하다 | 準備 | to prepare
일찍 |  | early
주문하다 | 注文 | to order (smth.)
바지 |  | pants
조금 |  | a little
비싸다 |  | to be expensive
빠르다 |  | to be quick, fast
멀다 |  | to be far
나쁘다 |  | to be bad
덥다 |  | to be hot (regarding the weather)
전혀 | 全- | completely;<br>(not) at all
운전하다 | 運轉 | to drive
잘못하다 |  | to make a mistake
달리다 |  | to run;<div>to hang;</div><div>to depend on</div>
글 |  | writing, a piece of writing, text
글씨 |  | letter, character (handwritten)
빌리다 |  | to borrow
숙제 | 宿題 | homework
결혼하다 | 結婚 | to get married
자전거 | 自轉車 | bicycle
찍다 |  | to take a picture;<br />to mark, stamp, dip into, chop
사진 | 寫眞 | picture, photo
편지 | 便紙·片紙 | letter, note
계획 | 計劃 | plan, project
풀다 |  | to solve; untie
알다 |  | to know, understand
빨간색 |  | red
가깝다 |  | to be close
주말 | 週末 | weekend
백화점 | 百貨店 | department store
서점 | 書店 | bookstore
회사 | 會社 | company, corporation
오전 | 午前 | before noon
힘들다 |  | to be difficult, tiring, painful
쉽다 |  | to be easy
싸다 |  | to be inexpensive, cheap;<div>to wrap up, pack</div>
아름답다 |  | to be beautiful
춥다 |  | to be cold (regarding the weather)
맵다 |  | to be spicy, hot;<div>to be intense</div>
귀엽다 |  | to be cute
아프다 |  | to be sick;<div>to hurt, ache</div>
예쁘다 |  | to be pretty, charming
봄 |  | spring
온도 | 溫度 | temperature
맑다 |  | to be clear, clean
느리다 |  | to be slow
오후 | 午後 | after noon
다르다 |  | to be different
부르다 |  | to call, to call out
가득하다 |  | to be filled (with)
거의 |  | almost
들르다 |  | to stop by
먼저 |  | first, ahead
같다 |  | to be the same (as);<div>to look like, seem like</div>
방법 | 方法 | way, method
해보다 |  | to try; to experience
어렵다 |  | to be difficult, hard
착하다 |  | to be nice (good-natured)
예전 |  | the old days; before
소설 | 小說 | novel
독일 | 獨逸 | Germany
수학 | 數學, 修學 | mathematics;<div>study</div>
법 | 法 | law
교육 | 敎育 | education
하루 |  | (one) day, 24 hours
모두 |  | all together, everyone
층 | 層 | floor (count.)
싫다 |  | to not like, to not want to do
슬프다 |  | to be sad
제일 | 第一 | the most
길다 |  | to be long
작다 |  | to be small
엎다 |  | to turn upside down
맞다 |  | to be correct;<div>to be hit, struck</div>
리모콘 |  | remote control
만약 | 萬若 | if
맛 |  | taste, flavor
환자 | 患者 | patient (medical)
나무 |  | tree; wood
벌써 |  | already
졸업하다 | 卒業 | to graduate
정치 | 政治 | politics
월 | 月 | month
언젠가 |  | someday
잠시 | 暫時 | a short while
만화 | 漫畵 | comic book
그만두다 |  | to quit (work, school, etc.);<div>to give up (drinking etc.)</div>
그렇다 |  | to be so (like that)
문제 | 問題 | problem, question
고르다 |  | to choose, pick;<div>to be regular, even</div>
접다 |  | to fold
조심하다 | 操心 | to be careful, watch out
모레 |  | the day after tomorrow
종일 | 終日 | all day long
공연 | 公演 | public performance
햄버거 |  | hamburger
부엌 |  | kitchen
마당 |  | yard, garden
공원 | 公園 | park
불 |  | fire;<div>light</div>
돼지 |  | pig
돕다 |  | to help
무섭다 |  | to be scary, frightening, fearful;<div>to be scared</div>
침대 | 寢臺 | bed
남기다 |  | to leave, set aside
약속 | 約束 | appointment;<div>promise</div>
못하다 |  | to be unable to do
속 |  | inside
가지다 |  | to posess (have)
나다 |  | <div>to appear, come out;</div><div>to break</div>
왼쪽 |  | left side
길 |  | street, road
유명하다 | 有名 | to be famous
사고 | 事故, 思考 | accident, trouble;<div>thinking</div>
다치다 |  | to get hurt
역사 | 歷史 | history
멋있다 |  | to be attractive, stylish, cool
유난히 |  | unusually, exceptionally
택시 |  | taxi
출구 | 出口 | exit
곳 |  | place
여러 |  | many, several
습관 | 習慣 | habit
예문 | 例文 | example sentence
테이블 |  | table
미치다 |  | to go mad, crazy;<div>to reach</div>
글쎄 |  | well, let me see
종이 |  | paper
여보 |  | Honey, Dear
할머니 |  | grandmother
설명하다 | 說明 | to explain
말다 |  | to not do;<div>to put into soup;</div><div>to roll</div>
만지다 |  | to touch
걱정하다 |  | to worry
보내다 |  | to send;<br />to pass (spend) time
오래 |  | a long time
위 | 胃 | above, top, senior;<div>stomach</div>
의문 | 疑問 | question, doubt
무겁다 |  | to be heavy
책상 | 冊床 | desk
옷장 |  | wardrobe, closet
문맥 | 文脈 | context
앞 |  | the front
아래 |  | under
냉장고 | 冷藏庫 | refrigerator
복수 | 復讐, 複數 | revenge;<br>plural
용서하다 | 容恕 | to forgive
축하하다 | 祝賀 | to congratulate
세탁기 | 洗濯機 | washing machine
뒤 |  | behind
구두 |  | dress shoes
질문 | 質問 | question
시작하다 | 始作 | to start, begin
아들 |  | son
날짜 |  | date (in a calendar)
고치다 |  | to fix, repair
옆 |  | beside, next to
방금 | 方今 | a moment ago
청바지 | 靑-- | blue jeans
안 | 案 | inside, within;<br />not;<div>proposal</div>
소금 |  | salt
별로 | 別- | not particularly
키 |  | height
우산 | 雨傘 | umbrella
코트 |  | coat;<div>court</div>
너무 |  | too (much)
여우 |  | fox
꼬리 |  | tail
달 |  | month, moon
시끄럽다 |  | to be noisy
인사하다 | 人事 | to greet;<div>to say goodbye</div>
흐리다 |  | to be cloudy
행복하다 | 幸福 | to be happy
요즘 |  | these days
교실 | 敎室 | classroom
제 |  | my
기숙사 | 寄宿舍 | dormitory
다시 |  | again
편의점 | 便宜店 | convenience store
세탁소 | 洗濯所 | laundry, dry cleaner's
주차장 | 駐車場 | parking lot
자동차 | 自動車 | car
소파 |  | sofa
즐기다 |  | to enjoy oneself
사적 | 私的, 史蹟 | private, personal;<div>historical site</div>
되다 |  | to become, get, turn into
도시 | 都市 | city
동안 |  | during, interval
사정 | 事情 | reason;<div>situation, circumstances</div>
아버지 |  | father
꿈 |  | dream
한숨 |  | sigh;<div>rest, pause</div>
외국 | 外國 | foreign country
약 | 藥, 約 | drug, medicine;<br>approximately
외국어 | 外國語 | foreign language
똑똑하다 |  | to be smart, bright, intelligent
재미있다 |  | to be fun, interesting
명사 | 名詞 | noun
산책하다 | 散策 | to take a walk
계속 | 繼續 | continuously
어머니 |  | mother
다음 |  | the next, the following
역 | 驛, 役 | train station;<div>part in a play</div>
나가다 |  | to go out
우리 |  | we (<i>informal</i>)
문법 | 文法 | grammar
년 | 年 | year
가장 |  | the most (more formal than 제일)
바로 |  | right there;<br>directly
한번 | -番 | (no translation - an adverb related to trying something)
집중하다 | 集中 | to concentrate
느낌 |  | feeling, sensation
혹시 | 或是 | by any chance; perhaps
모으다 |  | to collect, gather up
진행하다 | 進行 | to progress, proceed
딸 |  | daughter
이렇게 |  | like this, in this way
열심히 | 熱心 | diligently, passionately
장학금 | 奬學金 | scholarship
약하다 | 弱 | to be weak
비슷하다 |  | to be similar
외우다 |  | to memorize
멜론 |  | melon
거짓말 |  | lie
천사 | 天使 | angel
천재 | 天才 | genius
대답 | 對答 | answer
참다 |  | to endure, bear
사라지다 |  | to disappear
복습하다 | 復習 | to review
아마 |  | probably, maybe
전 | 前 | before, prior to
들어오다 |  | to come in, enter
노크하다 |  | to knock
도망가다 | 逃亡 | to run away, escape
얼굴 |  | face
시제 | 時制 | tense (grammatical)
현재 | 現在 | present, now
형 | 兄, 型, 刑 | a man's older brother;<br />type, style;<br />punishment
강의 | 講義 | lecture
천천히 |  | slowly
좁다 |  | to be narrow
반지 | 斑指 | ring
마음 |  | mind, heart, nature
숨기다 |  | to hide, conceal
농담 | 弄談 | joke
조용하다 |  | to be quiet
방해하다 | 妨害 | to disturb, interrupt
문학 | 文學 | literature
사장 | 社長 | president of a company
반갑다 |  | to be glad, happy, pleased
어둡다 |  | to be dark, gloomy
지하 | 地下 | underground, basement
약간 | 若干 | a little, slightly
당근 |  | carrot
생선 | 生鮮 | fish (for eating)
건강 | 健康 | health
세계 | 世界 | the world
평화 | 平和 | peace
부모님 | 父母- | parents
교재 | 敎材 | teaching materials
휴가 | 休暇 | vacation
밖 |  | the outside
다니다 |  | to go (frequently),<br>to attend, work for
항상 | 恒常 | always
계속하다 | 繼續 | to continue
벌다 |  | to earn (money)
울다 |  | to cry
죽다 |  | to die
꽃 |  | flower
볼펜 |  | ballpoint pen
공책 | 空冊 | notebook
주인 | 主人 | owner, employer
셔츠 |  | shirt
모자 | 帽子, 母子 | hat, cap;<div>mother and son</div>
거스름돈 |  | change (coins)
변하다 | 變- | to change
가짜 | 假- | imitation, fake
독학 | 獨學 | self-study
독립 | 獨立 | independence
과학 | 科學 | science
유학 | 留學, 儒學 | studying abroad;<div>Confucianism</div>
겨울 |  | winter
물건 | 物件 | thing, object, article
많다 |  | to be many, to be plenty
값 |  | price, cost
편하다 | 便 | to be convenient, comfortable
미안하다 | 未安 | to be sorry (less formal)
라면 |  | ramen
강 | 江 | river
벽 | 壁 | wall;<br>characteristic
지붕 |  | roof
바꾸다 |  | to change, switch, alter
반말 | 半- | plain speech
믿다 |  | to believe, trust
간단하다 | 簡單 | to be simple, easy
당연하다 | 當然 | to be reasonable, natural
불규칙 | 不規則 | irregular
신발 |  | shoes, footwear
열쇠 |  | key
신경 | 神經 | nerves
걸리다 |  | to take time;<div>to hang;<br /><div>to be caught</div></div>
냄새 |  | smell, scent
넓다 |  | to be wide, spacious
방학 | 放學 | school holiday
시원하다 |  | to be cool, refreshing
