차 | 茶, 車 | tea;<div>car</div>
금속 | 金屬 | metal
흙 |  | earth, soil, dirt
수다 |  | chatter, chit-chat
썰렁하다 |  | to be chilly;<div>to be not funny, awkward</div>
연예 | 演藝 | entertainment
엊그제 |  | a couple of days ago
승객 | 乘客 | passenger
뒷문 | -門 | back door
아르바이트 |  | part-time job
동네 | 洞- | neighborhood, village
조사 | 調査, 助詞 | survey, investigation;<div>postposition</div>
도로 | 道路 | road, street;<div>back, again</div>
그대로 |  | as [it] is, intactly
어마어마하다 |  | to be tremendous, immense, grand
솔직하다 | 率直 | to be frank, honest, candid
내밀다 |  | to stick out, extend
혀 |  | tongue
쓰다듬다 |  | to stroke, pat
흔들다 |  | to shake, wave, swing
진지하다 | 眞摯 | to be serious, earnest
속옷 |  | underwear
짜증 |  | irritation, annoyance
허락하다 | 許諾 | to allow, permit
질투 | 嫉妬 | jealousy
가만히 |  | still, motionlessly
꺼내다 |  | to pull, take out;<div>to start talking</div>
키스 |  | kiss
과음하다 | 過飮 | to drink too much
말짱하다 |  | to be impeccable, neat;<div>to be perfectly okay</div>
의심 | 疑心 | doubt, suspicion
응답 | 應答 | answer, response
원숭이 |  | monkey
물다 |  | to bite
차이다 |  | to get kicked;<div>to be dumped</div>
차다 |  | to kick;<div>to be cold, chilly;</div><div>to be full</div>
동생 |  | younger sibling, younger friend
혼나다 |  | to be scolded, have a hard time
전원 | 電源, 全員 | <div>power supply;</div><div>all members, everyone</div>
소녀 | 少女 | young girl
정각 | 正刻 | the exact time (not sooner or later)
퇴근하다 | 退勤 | to go home from work
행사 | 行事 | event
오히려 |  | rather, preferably
프로그램 |  | program
이루어지다 |  | to come true;<div>to be formed, consist (of)</div>
터 |  | site, ground
남 |  | other people
의식 | 意識 | consciousness;<div>ceremony, ritual</div>
둘이 |  | two people
상자 | 箱子 | box
칭찬하다 | 稱讚 | to praise, compliment
출입 | 出入 | entry;<div>coming and going</div>
소개팅 | 紹介 | blind date
신나다 |  | to be excited
드디어 |  | finally, at (long) last
고객 |  | customer, client
외딴 |  | isolated, remote
대체 | 大體, 代替 | (why) on earth, (what) the hell;<div>substitution</div>
시설 | 施設 | establishment, facilities
차례 | 次例, 茶禮 | order, sequence;<div>time, turn;</div><div>memorial service for ancestors</div>
성인 | 成人, 聖人 | adult, grown-up;<div>Saint</div>
초급 | 初級 | elementary (beginning) level
무료 | 無料 | free of charge (more formal)
자료 | 資料 | materials, data
신청하다 | 申請 | to apply for, request
간접화법 | 間接話法 | indirect speech
대부분 | 大部分 | greater part, mostly
산업 | 産業 | industry
표정 | 表情 | facial expression
상식 | 常識 | common sense; general knowledge
째려보다 |  | to look unkindly at
열 | 熱, 列 | fever, heat;<div>row, line, queue</div>
코피 |  | nosebleed
피우다 |  | <div>to smoke;</div>to bloom, blossom;<div>to make a fire</div>
도둑 |  | thief
기대하다 | 期待 | to expect, look forward
휴대전화 | 携帶電話 | cell phone
주차하다 | 駐車 | to park
갈아타다 |  | to change vehicles, transfer
절박하다 | 切迫 | to be urgent, desperate
찬란하다 | 燦爛·粲爛 | to be radiant, shining, gorgeous
유산 | 流産, 遺産 | abortion;<div>inheritance, legacy</div>
존재하다 | 存在 | to exist, be present
종료 | 終了 | end, conclusion, termination
일부 | 一部 | part, section, portion
비용 | 費用 | expense, cost
그치다 |  | to stop (doing), cease
수입 | 收入, 輸入 | income;<div>import</div>
장면 | 場面 | scene (in a movie etc.)
폭력 | 暴力 | violence, force
목장 | 牧場 | farm, ranch
무 |  | radish
괴짜 | 怪- | odd (eccentric) person
감히 | 敢- | boldly, daringly
인생 | 人生 | life (human)
하숙 | 下宿 | boarding house
위엄 | 威嚴 | dignity
명령 | 命令 | order, command
이모 | 姨母 | aunt (mother's sister)
재계 | 財界 | the financial world, business circles
욕심 | 慾心 | greed
완벽하다 | 完璧 | to be perfect, flawless
속상하다 | -傷- | to be upset, distressed;<div>to be upsetting, distressing</div>
외교 | 外交 | diplomacy
훈훈하다 | 薰薰 | to be comfortably warm
안심하다 | 安心 | to be relieved, rest easy
김새다 |  | to lose intereset, enthusiasm, be disappointed;<div>to spoil one's fun</div>
봉사 | 奉仕 | service;<div>blind person</div>
찾아가다 |  | to visit
명절 | 名節 | (national) holiday
물품 | 物品 | item, article;<div>goods</div>
쌀 |  | uncooked rice
동참하다 | 同參 | to join, take part in
홀로 |  | alone, by oneself
피 |  | blood
이불 |  | blanket
목표 | 目標 | target, goal
틀리다 |  | to be wrong, mistaken;<div>to make a mistake</div>
위로하다 | 慰勞 | to console, comfort
아무리 |  | however, no matter how
졸다 |  | to doze off
특별하다 | 特別 | to be special, extraordinary
공주 | 公主, 公州 | princess;<div>Gong Ju</div>
고개 |  | head, neck;<div>hill</div>
관련하다 | 關聯 | to be related to, connected with
형태 | 形態 | form, shape
분위기 | 雰圍氣 | atmosphere, mood
큰일 |  | serious matter
심하다 | 甚 | to be heavy, severe, harsh
재산 | 財産 | property, fortune, wealth
요구하다 | 要求 | to demand, ask, claim
마치다 |  | to finish, complete
도움 |  | help, aid
빠지다 |  | to fall, drop out, be missing
염색하다 | 染色 | to dye
피하다 | 避 | to avoid
태도 | 態度 | attitude, manner
판단하다 | 判斷 | to judge, decide, make a judgement
눈치 |  | reading (sensing) the atmosphere or people's faces
안색 | 顔色 | complexion
무슨 |  | which/what (+ noun)
명함 | 名銜·名啣 | business card
바깥 |  | outside
내다보다 |  | to look out
막다 |  | to block, close
기막히다 | 氣- | to be struck dumb, be stunned;<div>to be perfect, fantastic</div>
꼼꼼하다 |  | to be careful, meticulous
낳다 |  | to give birth
열리다 |  | to be open, be opened;<div>to bear fruit</div>
역할 | 役割 | role, part
석양 | 夕陽 | sunset
도로변 | 道路邊 | roadside
화살표 | --標 | arrow
말리다 |  | to dry;<div>to make somebody stop doing something</div>
충격 | 衝擊 | shock
진심으로 | 眞心 | sincerely, from one's heart
제법 |  | pretty, fairly, quite
녹다 |  | to melt, thaw, unfreeze
밋밋하다 |  | to be flat, plain, dull
충분하다 | 充分 | to be enough, be sufficient
쌍둥이 | 雙- | twins
쳐다보다 |  | to look (at), stare (at)
원망하다 | 怨望 | to resent, reproach, blame
빤히 |  | evidently, obviously;<div>intently</div>
본체만체하다 |  | to ignore, pretend not to see
주먹 |  | fist
달려오다 |  | to come running
꽉 |  | tightly, firmly;<div>closely</div>
결심하다 | 決心 | to decide
짓 |  | act, behavior
제공하다 | 提供 | to provide
기념 | 記念·紀念 | commemoration
손잡이 |  | handle, knob
넘어지다 |  | to fall (down)
장난 |  | game, playing (for fun)
기도하다 | 祈禱, 企圖 | to pray;<br>to attempt
날씬하다 |  | to be slim, slender
수술 | 手術 | operation, surgery
나비 |  | butterfly
수다떨다 |  | to chitchat
연기 | 演技, 煙氣 | acting, performance;<div>smoke</div>
국내 | 國內 | inside country, domestic
기관 | 機關, 器官 | <div>engine;</div><div>institution, organization;</div><div>organ</div>
열정 | 熱情 | passion
의지 | 意志 | will, volition
선 | 線, 善 | line;<div>goodness, virtue;</div><div>meeting with a prospective marriage partner</div>
조언 | 助言 | advice
입장하다 | 入場 | to enter, get into, obtain admission
방식 | 方式 | method, manner, way
영향 | 影響 | influence, effect
금연 | 禁煙 | smoking prohibited, no smoking
설득하다 | 說得 | to persuade
매연 | 煤煙 | exhaust (fumes)
살펴보다 |  | to look around, watch for
사방 | 四方 | all directions, everywhere
환상 | 幻想 | illusion, fantasy
농업 | 農業 | agriculture
의견 | 意見 | opinion, view, idea
넋 |  | soul, spirit
거미 |  | spider
대충 |  | roughly, approximately;<div>almost, practically</div>
곰 |  | bear
노릇 |  | role, function
찬물 |  | cold water
음반 | 音盤 | record, album
외모 | 外貌 | appearance
오죽 |  | very, indeed, how
끄덕이다 |  | to nod
흐르다 |  | to flow;<div>to overflow;</div><div>to elapse</div>
깊다 |  | to be deep
모양 | 模樣·貌樣 | shape
재주 | 才- | talent, skill
무언가 |  | something
벌금 | 罰金 | fine, penalty
독서하다 | 讀書 | to read books
저장하다 | 貯藏 | to store, save
진급하다 | 進級 | to be promoted, move up
소문 | 所聞 | rumor, gossip
걸음 |  | step
교도소 | 矯導所 | jail, prison
지지하다 | 支持 | to support, back up
의도 | 意圖 | intention, aim, purpose
주무시다 |  | to sleep (hon.)
제과점 | 製菓店 | bakery
운명 | 運命 | fate, destiny
똑바로 |  | straight, directly;<div>honestly, frankly</div>
가능성 | 可能性 | possibility, likelihood;<div>potential</div>
괴롭다 |  | to be painful, distressing
단계 | 段階 | stage, phase, step
교사 | 敎師 | instructor, teacher
마을 |  | village, town
대표 | 代表 | representative
지독하다 | 至毒 | to be vicious;<div>to be awful, terrible, severe</div>
침 | 鍼 | saliva, spit;<div>needle, sting</div>
이전 | 以前, 移轉 | the previous, before, formerly;<br>relocation, move
대상 | 對象, 大賞 | object, target;<div>grand prize</div>
기간 | 期間 | period, term
소년 | 少年 | young boy
진지 | 陣地 | meal (hon.);<br>position, stronghold
몸살 |  | body ache
참석하다 | 參席 | to attend, be present
무시하다 | 無視 | to ignore, disregard
동창 | 同窓 | fellow students, classmates
예절 | 禮節 | manners, etiquette
기쁘다 |  | to be glad, happy, pleased
방향 | 方向 | direction
대회 | 大會 | mass meeting, convention;<div>contest, tournament (where many people gather)</div>
움직이다 |  | to move
단체 | 團體 | organization, association, group of people
갈색 | 褐色 | light brown
곤충 | 昆蟲 | insect, bug
가리다 |  | <div>to distinguish, differentiate;</div><div>to cover, hide, block<br></div>
아픔 |  | pain, ache;<div>sorrow, grief</div>
만남 |  | meeting
밀치다 |  | to push, shove
지치다 |  | to be exhausted, worn out
목격하다 | 目擊 | to witness, observe
실망시키다 | 失望 | to disappoint
뱀 |  | snake
화분 | 花盆 | flower pot
책장 | 冊欌, 冊張 | bookshelf, bookcase;<div>the page of a book</div>
꽂다 |  | to put into, stick into
옷걸이 |  | coat hanger
꽃병 |  | flower vase
연애 | 戀愛 | dating;<div>love, romance</div>
아깝다 |  | to be precious, valuable;<div>to be regrettable, pitiful</div>
쓸모있다 |  | to be useful
강조하다 | 强調 | to stress, emphasize
설날 |  | New Year's Day
금 | 金 | gold;<div>line</div>
연휴 | 連休 | long holiday, consecutive holidays
시골 |  | country, rural area
평생 | 平生 | lifetime, one's entire life
제품 | 製品 | product, manufactured goods
주방 | 廚房 | kitchen
돌리다 |  | to turn, spin
자식 | 子息 | one's children
주장하다 | 主張 | to assert, contend, insist
알려지다 |  | to become known
끊다 |  | to cut off, break off
요란하다 | 搖亂ㆍ擾亂 | to be noisy, be loud
수레 |  | wagon, cart
한참 |  | for some time
고민 | 苦悶 | worry, trouble
뒷담화 | -談話 | talking behind someone's back
몰래 |  | secretly
귀신 | 鬼神 | ghost, spirit
저리 | 低利 | that way, that direction;<div>low interest (rate)</div>
금융 | 金融 | finance
내기 |  | bet, betting
도리어 |  | on the contrary, instead
변명 | 辨明 | excuse, justification
마늘 |  | garlic
진가 | 眞價 | true value, real worth
심사하다 | 審査 | to screen, evaluate, judge
사또 | 使道 | district magistrate
전화번호 | 電話番號 | phone number
실종 | 失踪 | disappearance
예능 | 藝能 | artistic talents
지구 | 地球 | Earth, globe;<div>district, zone</div>
태양 | 太陽 | sun
주위 | 周圍 | the circumference, perimeter;<div>surroundings</div>
돌다 |  | to turn, rotate, revolve
곡 | 曲 | tune, music, song
발표 | 發表 | announcement, presentation
확정하다 | 確定 | to determine, decide, settle, fix
통화하다 | 通話 | to talk over the telephone
존중하다 | 尊重 | to appreciate, respect
지문 | 指紋 | fingerprint
편견 | 偏見 | prejudice, bias
녹음실 | 錄音室 | recording studio
단둘 |  | two persons (alone, in private)
겸손하다 | 謙遜 | to be modest, humble
형용사 | 形容詞 | adjective
또는 |  | or
매력적 | 魅力的 | attractive, charming
주민 | 住民 | resident, inhabitant
동시에 | 同時 | at the same time
기능 | 機能, 技能 | function;<div>skill</div>
산보하다 | 散步 | to walk, stroll
아가씨 |  | miss, young lady
미혼 | 未婚 | single, unmarried
고속버스 | 高速bus | express bus
동쪽 | 東- | the east
봉투 | 封套 | envelope, bag
순수하다 | 純粹 | to be pure, genuine
간주하다 | 看做 | to regard, consider
바탕 |  | foundation, basis
목욕탕 | 沐浴湯 | bathroom, bath house
깔끔하다 |  | to be neat, tidy
외양 | 外樣 | appearance, look
노래자랑 |  | singing contest
신분 | 身分 | social position
빛 |  | light, ray, glow
무역 | 貿易 | trade, commerce
오징어 |  | squid, cuttlefish
가위 |  | scissors
연극 | 演劇 | play, theatrical performance
정상 | 正常, 頂上 | normality;<div>top, summit</div>
넥타이 |  | necktie
우습다 |  | to be funny, amusing
회장 | 會長, 會場 | president, chairman;<div>hall, venue</div>
고아 | 孤兒 | orphan
고모부 | 姑母夫 | father's sister's husband
테니스 |  | tennis
전부 | 全部 | all, entire
막차 | -車 | the last train/bus
진주 | 眞珠·珍珠 | pearl
토끼 |  | rabbit
침묵 | 沈默 | silence
호주머니 | 胡- | pocket
욕 | 辱 | swear word, insult, abuse
위치 | 位置 | position, location, site
노동 | 勞動 | labor
가치 | 價値 | value, worth
현대 | 現代 | the present age, modern times
속다 |  | to be deceived, be fooled
서류 | 書類 | documents, papers
빠뜨리다 |  | to drop, throw into;<div>to omit, exclude;</div><div>to tempt</div>
급하다 | 急 | to be in a hurry, be urgent
분실하다 | 紛失 | to lose
최선 | 最善 | the best
발행 | 發行 | publication, issue
예정 | 豫定 | schedule
의지하다 | 依支 | to rely, depend, lean on
등산 | 登山 | hiking, mountain climbing
선반 |  | shelf
하필 | 何必 | why of all the [things, people etc.]
화내다 |  | to get angry, vent one's anger
효과 | 效果 | effect, efficiency
당황하다 | 唐慌 | to be embarrassed, flustered, confused
노출하다 | 露出 | to expose
환불하다 | 還拂 | to refund, get a refund
변호사 | 辯護士 | lawyer
정장 | 正裝 | formal wear (outfit, dress, suit)
차표 | 車票 | ticket for train/bus
조절하다 | 調節 | to control, adjust, regulate
미루다 |  | to delay, postpone
성공 | 成功 | success
입학하다 | 入學 | to enter a school, be admitted into a school
줍다 |  | to pick up, gather up
상영 | 上映 | screening, showing (a movie etc.)
맡기다 |  | to leave something with someone,<div>to entrust, deposit</div>
꾸다 |  | to dream;<div>to borrow</div>
숟갈 |  | spoonful (of sugar or other ingredients)
깨우다 |  | to wake someone up
번역 | 飜譯 | translation
감정 | 感情, 憾情, 鑑定 | feeling, emotion;<div>grudge, animosity;</div><div>appraisal, valuation</div>
해안 | 海岸 | coast, seaside
다름없다 |  | to not be different
놀이터 |  | playground
그네 |  | swings
불교 | 佛敎 | Buddhism
끌다 |  | to pull, draw
대륙 | 大陸 | continent
마주보다 |  | to look at each other
번쩍 |  | easily; high; all of a sudden
가정 | 家庭, 假定 | home, family;<br>supposition, assumption
수필 | 隨筆 | essay
간절하다 | 懇切 | to be earnest, eager
홀랑 |  | completely
시선 | 視線 | one's eyes
시상식 | 施賞式 | awards ceremony
볼 |  | cheek;<div>ball</div>
이리저리 |  | here and there, this way and that
보호하다 | 保護 | to protect
신체 | 身體 | body
상하다 | 傷 | to go bad, spoil;<div>to be hurt</div>
위협 | 威脅 | threat, intimidation
왜곡하다 | 歪曲 | to distort, twist
새침하다 |  | to be coy, prim
양다리 | 兩- | double-deal, both ways (also used in the context of cheating)
비만 | 肥滿 | fatness, corpulence
인내심 | 忍耐心 | patience, endurance
추억 | 追憶 | recollection, remembrance
잠기다 |  | <div>to be submerged, go down;</div><div>to be locked, be fastened</div>
부대 | 部隊, 負袋 | unit, troops;<div>bag, sack</div>
총 | 銃, 總 | gun;<div>total, overall</div>
파리 |  | fly;<div>Paris</div>
시청 | 市廳, 視聽 | city hall;<div>watching</div>
식탁 | 食卓 | dining table
과로하다 | 過勞 | to work too much
통과하다 | 通過 | to pass, get through
영원히 | 永遠 | forever, eternally
지성 | 知性, 至誠 | brain power, intelligence;<br>sincerity, devotion
비축하다 | 備蓄 | to reserve, stock up (on)
연료 | 燃料 | fuel
구분하다 | 區分 | to divide, classify
논리적 | 論理的 | logical
추측하다 | 推測 | to guess, suppose
일체 | 一切, 一體 | all, the whole;<div>entirely, absolutely</div>
환전하다 | 換錢 | to exchange money
천장 | 天障 | ceiling
쇼핑 |  | shopping
탁자 | 卓子 | tea table
우주 | 宇宙 | universe
의학 | 醫學 | medicine, medical science
울적하다 | 鬱寂 | to be depressed, gloomy, cheerless
무릎 |  | knee;<div>lap</div>
답 | 答 | answer
각 | 各, 角 | each, every;<div>angle</div>
알맞다 |  | to be fitting, suitable, appropriate
씹다 |  | to chew
신선하다 | 新鮮 | to be fresh
빼앗다 |  | to take away, rob;<div>to fascinate, captivate</div>
지시하다 | 指示 | to direct, instruct
밑줄 |  | underline
일 | 日 | work, matter;<div>day</div>
함부로 |  | thoughtlessly, carelessly
나타내다 |  | to express;<div>to show, display</div>
명예 | 名譽 | honor, distinction, fame
기말 | 期末 | end of a term, end of a semester
문병가다 | 問病 | to visit a sick person
표시하다 | 標示, 表示 | to mark, indicate;<div>to express, show</div>
및 |  | and, as well as
종류 | 種類 | kind, type, sort
경주 | 慶州, 競走 | <div>Gyeongju;</div><div>race, run<br></div>
우편 | 郵便 | mail, post
쥐 |  | mouse;<br>rat
전화기 | 電話機 | telephone (set)
적어도 |  | at least
낡다 |  | to be old, worn
성취하다 | 成就 | to achieve, accomplish
취득하다 | 取得 | to acquire, obtain
초인종 | 招人鐘 | doorbell
상징 | 象徵 | symbol
뵙다 |  | to see, meet (hon.)
계산하다 | 計算 | to calculate;<div>to pay</div>
살살 |  | gently, softly
마치 |  | as though, as if
생산하다 | 生産 | to produce, make
농사 | 農事 | farming
못생기다 |  | to be ugly, unattractive
삼촌 | 三寸 | uncle
오래되다 |  | to be old (for an object)
건너다 |  | to cross (over)
시도하다 | 試圖 | to try, attempt
오리 |  | duck
남성 | 男性 | men, male;<div>masculine gender</div>
남방 | 南方 | shirt;<div>south</div>
부장 | 部長 | head of department
급식 | 給食 | food service
금지하다 | 禁止 | to prohibit, ban
잠그다 |  | to lock
일정하다 | 一定 | to be fixed, constant, regular
교문 | 校門 | school gate
교장 | 校長 | principal, headmaster
풀 |  | grass;<div>glue</div>
무용 | 舞踊 | dance
수도 | 首都, 水道 | capital city;<div>water supply (service)</div>
언덕 |  | hill; slope
친척 | 親戚 | relatives
방문하다 | 訪問 | to visit
믿음 |  | belief, trust
멍청이 |  | stupid person
기타 | 其他 | guitar;<br>etc.
손목 |  | wrist
잦다 |  | to be frequent
페이지 |  | page
사모님 | 師母- | one's teacher's wife,<div>one's superior's wife</div>
설화 | 說話 | tale, story
갈비 |  | barbecued spare ribs
안주 | 按酒, 安住 | appetizers served with drinks;<div>living in peace, complacency</div>
국 |  | soup
밭 |  | field, farm
심부름 |  | errand
철도 | 鐵道 | railway
연기하다 | 延期, 演技 | to delay, postpone, put off;<br>to act
집사람 |  | wife
러시아 |  | Russia
성냥 |  | matches
부자 | 富者, 父子 | rich person;<div>father and son</div>
날개 |  | wings
검사 | 檢事 | prosecutor, district attorney;
부치다 |  | to mail, ship;<div>to fry</div>
소포 | 小包 | parcel, package
웬일 |  | what matter, what cause
임무 | 任務 | duty, task
음료수 | 飮料水 | beverage, drink
캠퍼스 |  | campus
안전하다 | 安全 | to be safe, secure
참치 |  | tuna
그립다 |  | to be missed, be beloved;<div>to miss, long for</div>
눈썹 |  | eyebrow
딱딱하다 |  | to be hard, stiff, firm
불가능하다 | 不可能 | to be impossible
머리카락 |  | hair
수상하다 | 殊常 | to be suspicious, strange, shady
즉시 | 卽時 | at once, immediately, without delay
트럭 |  | truck
흰색 |  | white
수리하다 | 修理, 受理 | to repair, fix;<div>to accept, receive</div>
공장 | 工場 | factory
간판 | 看板 | store signboard
부끄럽다 |  | to be shameful, disgraceful, ashamed;<div>to be shy</div>
소 |  | cow
발견하다 | 發見 | to discover, find
군중 | 群衆 | crowd
커피숍 |  | coffee shop
빌딩 |  | building
눈병 | -病 | eye disease
땅콩 |  | peanut
체육 | 體育 | physical education
초 | 秒 | seconds;<div>candle</div>
정문 | 正門 | the front gate, main entrance
왼편 | ―便 | the left side
두려워하다 |  | to be afraid, scared of
운전사 | 運轉士 | driver, chauffeur
모이다 |  | to come together, assemble, gather
시민 | 市民 | citizen
제대로 |  | appropriately, properly
줄거리 |  | outline, synopsis, plot;<br>stalk, stem
회원 | 會員 | member, membership
가입하다 | 加入 | to join, subscribe
모음 | 母音 | vowel
방대하다 | 厖大·尨大 | to be huge, vast, massive
얇다 |  | to be thin, flimsy
적당하다 | 適當 | to be appropriate, suitable, moderate, proper
속삭이다 |  | to whisper
시청자 | 視聽者 | viewer, TV audience
예비군 | 豫備軍 | reservist, reserve forces
생각나다 |  | to come to mind, think of, remember
기름 |  | oil;<div>fat</div>
그늘 |  | shade
완전히 | 完全 | completely, entirely, fully
알약 | -藥 | pill
흥미 | 興味 | interest
한편 | -便 | one side, one hand;<div>meanwhile</div>
기자 | 記者 | reporter
건너편 | --便 | the other side
회계사 | 會計士 | accountant
녹차 | 綠茶 | green tea
개성 | 個性 | personality, individuality
커튼 |  | curtain
용법 | 用法 | usage, use
굵다 |  | to be thick
세다 |  | to be strong;<div>to count (up)</div>
가로등 | 街路燈 | street lamp, street light
화나다 | 火- | to be angry, mad
청소기 | 淸掃機 | vacuum cleaner
세금 | 稅金 | tax
속이다 |  | to deceive, cheat, trick
통일되다 | 統一 | to be unified
원인 | 原因 | cause, factor
제주도 | 濟州島 | Jeju Island
큰형 | -兄 | boy's eldest brother
학원 | 學院 | educational institute, academy
대기실 | 待機室 | waiting room
작동 | 作動 | operation (of a device)
부정확 | 不正確 | inaccuracy, incorrectness
예식장 | 禮式場 | ceremony hall, wedding hall
회식 | 會食 | dining together (among colleagues)
음식점 | 飮食店 | restaurant
어둠 |  | darkness
지식 | 知識 | knowledge, understanding
도표 | 圖表 | diagram, chart
매표소 | 賣票所 | ticket booth
플랫폼 |  | platform
법원 | 法院 | court (of law)
다방 | 茶房 | tea room, coffee house
낚시 |  | fishing
붓다 |  | to pour (into);<div>to become swollen</div>
병실 | 病室 | hospital room, ward
재판 | 裁判, 再版 | trial;<div>second edition</div>
금방 | 今方 | shortly, soon, quickly
시어머니 | 媤- | mother-in-law (of a woman)
독감 | 毒感 | flu
예방하다 | 豫防 | to prevent
곁 |  | side, beside
매달 | 每- | every month
출소하다 | 出所 | to be released from prison
데우다 |  | to heat (up), warm (up)
배탈나다 | -縫 | to have a stomachache
끓다 |  | to boil, simmer
동아리 |  | club, society, group
흔하다 |  | to be common, commonplace
당하다 | 當 | to experience, encounter, suffer
학자 | 學者 | scholar
전학가다 | 轉學 | to change schools
특이하다 | 特異 | to be unusual, peculiar, unique
확보하다 | 確保 | to secure, ensure, assure
연락처 | 連絡處 | contact information
가해자 | 加害者 | attacker, perpetrator
불리하다 | 不利 | to be unfavorable, disadvantageous
매다 |  | to tie, bind
드물다 |  | to be rare
책꽂이 | 冊- | bookshelf
쓸데없다 |  | to be useless
괜히 |  | in vain, pointlessly, for nothing
서두르다 |  | to hurry up, hasten
흉기 | 凶器 | deadly weapon
자정 | 子正 | midnight
분수 | 噴水, 分數 | fountain;<div>fraction</div>
모시다 |  | to accompany, take;<div>to treat;</div><div>to serve (hon.)</div>
삼다 |  | to adopt, use a thing as
일으키다 |  | to raise, set somebody upright
조조 | 早朝 | early morning
부사 | 副詞 | adverb
서투르다 |  | to be unfamiliar (with), unskilled, poor (at)
놀리다 |  | to tease, kid, make fun of;<div>to leave something idle, unused</div>
덕분에 | 德分 | thanks to
불평 | 不平 | complaint
주인공 | 主人公 | protagonist, main character
호의 | 好意 | goodwill, kindness
연두색 | 軟豆色 | light green
동양 | 東洋 | the East
미용실 | 美容室 | beauty salon, hairdresser's
요금 | 料金 | charge, fee
기르다 |  | to raise, look after;<div>to grow</div>
케이크 |  | cake
빨다 |  | to wash (laundry);<div>to suck</div>
부침개 |  | vegetable pancake
속도 | 速度 | speed, pace
서랍 |  | drawer
벌주다 |  | to punish
엄청 |  | very, very much
까다롭다 |  | to be particular (about), fussy, difficult
털다 |  | to dust off, brush off;<div>to rob</div>
다행이다 | 多幸 | to be lucky, fortunate
꼬마 |  | (little) kid
발목 |  | ankle
늘다 |  | to increase, grow, rise
빚 |  | debt, loan
작전 | 作戰 | operation, military action
과목 | 科目 | subject, course
깨끗이 |  | cleanly, neatly
미처 |  | as far as, to that extent
훈련 | 訓鍊/訓練 | training, practice
수저 |  | spoon and chopsticks (traditional Korean utensils)
시험지 | 試驗紙 | test paper
부채 | 負債 | fan, folding fan;<br>debt, liabilities
똑같이 |  | equally, evenly
역사적 | 歷史的 | historical
충고 | 忠告 | advice
증명하다 | 證明 | to prove, demonstrate, confirm
억지로 |  | against one's will, by force
준수하다 | 遵守, 俊秀 | to abide by, comply with, obey [rules, law];<div>to be good-looking</div>
맞추다 |  | to set, adjust
느닷없이 |  | suddenly, abruptly
노인 | 老人 | old people
무조건 | 無條件 | unconditional
동료 | 同僚 | colleague, co-worker
비결 | 秘訣 | secret, key (of how to do something)
옥상 | 屋上 | rooftop
목도리 |  | scarf
퇴장하다 | 退場 | to leave, exit
싣다 |  | to load (up)
자음 | 子音 | consonant
마침내 |  | finally, eventually, at last
새로 |  | newly
그러나 |  | but, though, however
공해 | 公害 | pollution
콧물 |  | snot, nasal mucus
알아듣다 |  | to understand, catch, see
깨다 |  | to break;<div>to wake (up)</div>
배반 | 背反·背叛 | betrayal
사직하다 | 辭職 | to resign, step down
유럽 |  | Europe
요청 | 要請 | request, demand
재촉하다 |  | to hurry, rush, push
동그라미 |  | circle
촬영 | 撮影 | shooting, filming
잡수시다 |  | to eat (hon.)
늘 |  | always, all the time
정열 | 情熱 | passion, enthusiasm
라디오 |  | radio
달리 |  | differently
붙이다 |  | to stick, attach
창고 | 倉庫 | warehouse, storage
외출하다 | 外出 | to go out
감미롭다 | 甘味- | to be sweet, mellow
바람나다 |  | to have a secret love affair
손톱 |  | fingernail
한가지 |  | the same;<div>one thing, a kind, a sort</div>
런던 |  | London
성당 | 聖堂 | Catholic church
인물 | 人物 | person, individual, character
전국 | 全國 | the whole country
다만 |  | only, merely
발걸음 |  | step, pace
내가다 |  | to take out, take away, remove
재벌 | 財閥 | conglomerate, plutocrat
여왕 | 女王 | queen
황금 | 黃金 | gold
선착순으로 | 先着順 | by order of arrival
치료 | 治療 | treatment, cure
지은이 |  | writer, author
개미 |  | ant
나 |  | I (<i>informal</i>)
기념일 | 紀念日 | anniversary
압력 | 壓力 | pressure
데이트 |  | date, going out
추석 | 秋夕 | Korean harvest festival
국기 | 國旗 | national flag
어색하다 | 語塞 | to feel awkward, be at a loss for words
장점 | 長點 | advantage, strength, strong point
설거지 |  | dishwashing
모자라다 |  | to be insufficient
거실 | 居室 | living room
최종 | 最終 | last, final
보고하다 | 報告 | to report, inform
전경 | 全景, 前景 | panorama;<br>the front view
미끄럼 |  | slide, sliding
호기심 | 好奇心 | curiosity
유감 | 遺憾 | regret
죄 | 罪 | crime, sin, blame
젓다 |  | to stir, whip;<br>to row;<br>to gesticulate
군인 | 軍人 | military personnel, soldier
어쨌든 |  | anyway, in any case
등록하다 | 登錄 | to register, enroll
마감 |  | deadline
보험 | 保險 | insurance
만족하다 | 滿足 | to be satisfied, pleased
스트레스 |  | stress
감소하다 | 減少 | to decrease, decline
답답하다 |  | <div>to feel frustrated;</div>to be stuffy
나르다 |  | to carry, transport
상세 | 詳細 | details, particulars
감사하다 | 感謝 | to be thankful, thank, appreciate
무엇 |  | what, which, something (the unshortened form of 뭐)
그 |  | that (before nouns)
맛있다 |  | to be delicious, tasty
아니다 |  | to not be
시 | 時, 詩 | <div>time, hour;</div><div>o'clock;</div><div>poem</div>
클래스 |  | class
대 | 臺 | counter for vehicles and other machinery
